Name,Quantity,Price (USD),Link
Raspberry Pi Pico,1,4.80,https://robocraze.com/products/raspberry-pi-pico
Cherry MX Switches,9,3.80,https://meckeys.com/shop/accessories/keyboard-accessories/key-switches/cherry-mx2a-switch/
Rotary Encoder EC11,1,1.20,https://robu.in/product/rotary-encoder-module/
0.91 inch OLED SSD1306,1,2.60,https://robu.in/product/hw-787ab-1-3-oled-display-with-ec11-rotary-encoder-i2c-module/
3D Printed Case PLA,1,3.00,https://www.amazon.in
USB Micro Cable,1,1.50,https://www.amazon.in
PCB Manufacturing JLCPCB,1,5.00,https://jlcpcb.com
